422640,131,SandMonster,529,707,10040
422638,131,SandMonster,525,710,10040
422652,131,SandMonster,566,669,10040
417368,131,SandMonster,571,709,10040
422645,131,SandMonster,564,710,10040
422643,131,SandMonster,552,714,10040
422644,131,SandMonster,532,713,10040
422637,131,SandMonster,525,725,10040
422646,131,SandMonster,557,725,10040
422639,131,SandMonster,503,707,10040
422642,131,SandMonster,528,731,10040
422641,131,SandMonster,540,730,10040
416270,131,SandMonster,552,753,10040
422611,131,SandMonster,546,758,10040
422609,131,SandMonster,552,759,10040
422612,131,SandMonster,557,769,10040
416274,131,SandMonster,532,761,10040
416271,131,SandMonster,561,754,10040
424269,131,SandMonster,565,745,10040
422610,131,SandMonster,550,784,10040
431689,171,SandMonsterAide,567,752,10040
416272,131,SandMonster,589,759,10040
416865,131,SandMonster,575,755,10040
418569,131,SandMonster,583,765,10040
417374,131,SandMonster,578,745,10040
416275,131,SandMonster,595,746,10040
422606,131,SandMonster,603,738,10040
416273,131,SandMonster,596,761,10040
418593,131,SandMonster,590,741,10040
422860,131,SandMonster,622,751,10040
415428,531,SandMonsterL68,645,733,10040
419745,131,SandMonster,631,724,10040
422878,131,SandMonster,641,737,10040
421948,131,SandMonster,631,740,10040
422608,131,SandMonster,603,731,10040
417362,131,SandMonster,620,731,10040
418572,131,SandMonster,639,729,10040
418586,131,SandMonster,645,722,10040
417361,131,SandMonster,640,705,10040
422636,131,SandMonster,642,716,10040
422862,131,SandMonster,636,709,10040
420808,131,SandMonster,640,742,10040
416864,131,SandMonster,593,736,10040
422607,131,SandMonster,594,727,10040
416513,531,SandMonsterL68,580,726,10040
418583,131,SandMonster,579,733,10040
422859,131,SandMonster,583,733,10040
444684,171,SandMonsterMsgr,586,726,10040
416510,531,SandMonsterL68,586,705,10040
422605,131,SandMonster,583,717,10040
421930,131,SandMonster,576,736,10040
421941,131,SandMonster,565,733,10040
422647,131,SandMonster,564,722,10040
422648,131,SandMonster,563,721,10040
416512,531,SandMonsterL68,591,700,10040
419730,131,SandMonster,574,685,10040
420813,131,SandMonster,572,681,10040
